"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"CVM","Exp",14055192,10000,20,20,2.5,0.25,0,0.5501,0.537284820969326,0.562915179030674,0.7988,0.79094241500144,0.80665758499856,0.8862,0.880976003152767,0.891423996847233,8862,7988,5501
"CVM","Exp",36334,10000,20,20,2.5,0.125,0,0.1208,0.11240495234968,0.12919504765032,0.309,0.299943209230638,0.318056790769362,0.4453,0.437124368038752,0.453475631961248,4453,3090,1208
"CVM","Exp",94832642,10000,20,20,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",147221,10000,20,20,5,0.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",5296544,10000,20,20,5,0.25,0,0.9818,0.97835655566681,0.98524344433319,0.9965,0.995342479356556,0.997657520643444,0.9985,0.99786337224819,0.99913662775181,9985,9965,9818
"CVM","Exp",799248,10000,20,20,5,0.12,0,0.5148,0.501925643706868,0.527674356293132,0.7755,0.767321848622091,0.783678151377909,0.8683,0.862737196870841,0.873862803129158,8683,7755,5148
"CVM","Exp",66965062,10000,20,20,0,1.5,1,0.0114,0.00866530694682127,0.0141346930531787,0.052,0.0476482703025119,0.0563517296974881,0.0997,0.0947715868633225,0.104628413136677,997,520,114
"CVM","Exp",914531,10000,20,20,0.5,1.5,0,0.7058,0.694061623910543,0.717538376089457,0.8971,0.891144966799891,0.903055033200109,0.9493,0.945691126806083,0.952908873193917,9493,8971,7058
"CVM","Exp",108208,10000,20,20,1,1.5,0,0.9959,0.994253940031304,0.997546059968696,0.9994,0.998920044062022,0.999879955937978,0.9999,0.999735508225206,1.00006449177479,9999,9994,9959
"CVM","Exp",4118974,10000,20,20,1.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",1405767,10000,20,20,2,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",2875148,10000,20,20,2.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",3197432,10000,20,20,5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",18918646,10000,100,100,0,1,1,0.0093,0.00682737409756834,0.0117726259024317,0.0504,0.0461121291840355,0.0546878708159645,0.1039,0.0988805987472633,0.108919401252737,1039,504,93
"CVM","Exp",1221228,10000,100,100,0,0.5,1,0.0103,0.00769914430765258,0.0129008556923474,0.0512,0.0468800532862546,0.0555199467137454,0.1006,0.0956518673438256,0.105548132656174,1006,512,103
