"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Lepage","ghEqual",468769,1000,10,100,0,1,1,1,0,1,0.004,-0.00114168567534034,0.00914168567534034,0.047,0.0338824885896753,0.0601175114103247,0.102,0.0862563960320389,0.117743603967961
"Lepage","ghEqual",45552,1000,10,100,0,1,3,3,0,1,0.01,0.00189480522134107,0.0181051947786589,0.048,0.0347506319546931,0.0612493680453069,0.091,0.0760387272608578,0.105961272739142
"Lepage","ghEqual",17523,1000,10,100,0,1,1,3,0,1,0.181,0.149636314016621,0.212363685983379,0.29,0.261875536627342,0.318124463372658,0.369,0.343898841561095,0.394101158438905
"Lepage","ghEqual",65069788,1000,10,100,0,1,-1,1,0,1,0.067,0.0466331398213667,0.0873668601786333,0.149,0.126929407837577,0.171070592162423,0.215,0.193629240318253,0.236370759681747
"Lepage","ghEqual",988082,1000,10,100,0,1,-3,3,0,1,0.199,0.166477145595382,0.231522854404618,0.358,0.328285727712091,0.387714272287909,0.538,0.512065491138254,0.563934508861746
"Lepage","ghEqual",323190,1000,10,100,0,1,-1,3,0,1,0.167,0.136617283940767,0.197382716059233,0.263,0.235712252390496,0.290287747609504,0.397,0.371548123236685,0.422451876763316
"Lepage","ghEqual",42380,1000,10,100,0,1,1,-3,0,1,0.183,0.151502039660702,0.214497960339298,0.289,0.260904304130348,0.317095695869652,0.424,0.398292486514639,0.449707513485361
"Lepage","ghEqual",287676,1000,10,100,0.5,3,1,1,0,0,0.074,0.0526760717825256,0.0953239282174744,0.169,0.14577263548312,0.19222736451688,0.245,0.222627092849274,0.267372907150726
"Lepage","ghEqual",466458,1000,10,100,0.5,3,3,3,0,0,0.326,0.287815719912194,0.364184280087806,0.482,0.451029767169102,0.512970232830897,0.573,0.54726897120644,0.59873102879356
"Lepage","ghEqual",184625492,1000,10,100,0.5,3,1,3,0,0,0.294,0.256887357818878,0.331112642181122,0.454,0.423141108665411,0.484858891334589,0.562,0.536191003702197,0.587808996297803
"Lepage","ghEqual",46484,1000,10,100,0.5,3,-1,1,0,0,0.102,0.0773461861267673,0.126653813873233,0.223,0.197200041209335,0.248799958790665,0.328,0.303577649449736,0.352422350550264
"Lepage","ghEqual",26946,1000,10,100,0.5,3,-3,3,0,0,0.3,0.262670213501816,0.337329786498184,0.56,0.529233618347293,0.590766381652707,0.752,0.729535297945443,0.774464702054557
"Lepage","ghEqual",313518873,1000,10,100,0.5,3,-1,3,0,0,0.266,0.230005619197658,0.301994380802342,0.397,0.366674359601156,0.427325640398844,0.549,0.52311546631722,0.574884533682781
"Lepage","ghEqual",1691435,1000,10,100,0.5,3,1,-3,0,0,0.089,0.0658046969775344,0.112195303022466,0.172,0.148609717710126,0.195390282289874,0.262,0.239125862422815,0.284874137577185
"Lepage","ghEqual",23005,1000,10,100,1,3,1,1,0,0,0.207,0.173995920461616,0.240004079538384,0.346,0.316516231339939,0.375483768660061,0.436,0.41020421794944,0.46179578205056
"Lepage","ghEqual",114296306,1000,10,100,1,3,3,3,0,0,0.565,0.524615499923857,0.605384500076143,0.727,0.699387571754733,0.754612428245267,0.792,0.770886503501315,0.813113496498685
"Lepage","ghEqual",441187,1000,10,100,1,3,1,3,0,0,0.478,0.437309309609986,0.518690690390014,0.664,0.634724134062337,0.693275865937663,0.742,0.7192397143713,0.7647602856287
"Lepage","ghEqual",156417679,1000,10,100,1,3,-1,1,0,0,0.24,0.205209691832351,0.274790308167649,0.417,0.386439646310947,0.447560353689053,0.562,0.536191003702197,0.587808996297803
"Lepage","ghEqual",4886573,1000,10,100,1,3,-3,3,0,0,0.524,0.483316811911749,0.564683188088251,0.849,0.826807900540958,0.871192099459042,0.947,0.935345897684721,0.958654102315279
"Lepage","ghEqual",3863670,1000,10,100,1,3,-1,3,0,0,0.43,0.389670994339062,0.470329005660938,0.584,0.55345014451098,0.61454985548902,0.735,0.712042081553961,0.757957918446039
"Lepage","ghEqual",2284548,1000,10,100,1,3,1,-3,0,0,0.062,0.0423554030569217,0.0816445969430783,0.152,0.129747654649453,0.174252345350547,0.231,0.20907522919219,0.25292477080781
"Lepage","ghEqual",22955176,1000,10,100,1.5,3,1,1,0,0,0.383,0.343400670935785,0.422599329064215,0.556,0.525204663625802,0.586795336374198,0.645,0.620107991756891,0.669892008243109
"Lepage","ghEqual",714160,1000,10,100,1.5,3,3,3,0,0,0.633,0.593737247188512,0.672262752811488,0.774,0.748077267921764,0.799922732078236,0.822,0.802101890695345,0.841898109304655
"Lepage","ghEqual",120876358,1000,10,100,1.5,3,1,3,0,0,0.642,0.602946956421605,0.681053043578395,0.786,0.760580076978873,0.811419923021127,0.848,0.829323924437934,0.866676075562066
