"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Yuenbt","Cauchy",20968177,1000,100,100,0,1,1,1,0.013,0.00377266875765262,0.0222273312423474,0.046,0.0330159800369839,0.0589840199630161,0.088,0.0732631501873704,0.10273684981263
"Yuenbt","Cauchy",19674827,1000,100,100,0,0.5,0.5,1,0.017,0.00646954641356793,0.0275304535864321,0.06,0.0452804130492734,0.0747195869507266,0.112,0.0955948050179219,0.128405194982078
"Yuenbt","Cauchy",728120,1000,100,100,0,2,2,1,0.01,0.00189480522134107,0.0181051947786589,0.047,0.0338824885896753,0.0601175114103247,0.097,0.0816044345418884,0.112395565458112
"Yuenbt","Cauchy",34840427,1000,100,100,0,0.5,2,1,0.011,0.00250349441805633,0.0194965055819437,0.046,0.0330159800369839,0.0589840199630161,0.097,0.0816044345418884,0.112395565458112
"Yuenbt","Cauchy",55324,1000,100,100,0,1,2,1,0.007,0.000208440607931048,0.013791559392069,0.054,0.0399912779169547,0.0680087220830453,0.095,0.0797471150474738,0.110252884952526
"Yuenbt","Cauchy",363250,1000,100,100,0.5,1,1,0,0.294,0.256887357818878,0.331112642181122,0.522,0.491039692094554,0.552960307905446,0.65,0.625188295352798,0.674811704647202
"Yuenbt","Cauchy",137106,1000,100,100,0.5,0.5,0.5,0,0.921,0.899027006895191,0.942972993104809,0.976,0.966513923972474,0.985486076027526,0.991,0.986087257692999,0.995912742307001
"Yuenbt","Cauchy",76228285,1000,100,100,0.5,2,2,0,0.068,0.0474927100821196,0.0885072899178804,0.184,0.159983480885024,0.208016519114976,0.274,0.250798850953024,0.297201149046976
"Yuenbt","Cauchy",701063,1000,100,100,0.5,0.5,2,0,0.157,0.127364690158934,0.186635309841066,0.321,0.292063668262891,0.349936331737109,0.432,0.40623192691721,0.45776807308279
"Yuenbt","Cauchy",120938842,1000,100,100,0.5,1,2,0,0.096,0.0720025171239982,0.119997482876002,0.258,0.230881361804102,0.285118638195898,0.367,0.341927318177447,0.392072681822553
"Yuenbt","Cauchy",4555415,1000,100,100,1,1,1,0,0.919,0.89677477717403,0.94122522282597,0.981,0.972538109998351,0.989461890001649,0.993,0.988662998757782,0.997337001242218
"Yuenbt","Cauchy",99746527,1000,100,100,1,0.5,0.5,0,1,1,1,1,1,1,1,1,1
"Yuenbt","Cauchy",261489,1000,100,100,1,2,2,0,0.314,0.276192954446241,0.351807045553759,0.565,0.534272662985543,0.595727337014457,0.684,0.659815478760166,0.708184521239834
"Yuenbt","Cauchy",1666753,1000,100,100,1,0.5,2,0,0.577,0.536755739737249,0.61724426026275,0.79,0.764754773916639,0.815245226083361,0.868,0.850391890493298,0.885608109506702
"Yuenbt","Cauchy",43024,1000,100,100,1,1,2,0,0.522,0.481309309609986,0.562690690390014,0.723,0.695262641192788,0.750737358807212,0.808,0.787510932319893,0.828489067680107
"Yuenbt","Cauchy",19698082,1000,100,100,1.5,1,1,0,0.998,0.994360630700794,1.00163936929921,1,1,1,1,1,1
"Yuenbt","Cauchy",53918,1000,100,100,1.5,0.5,0.5,0,1,1,1,1,1,1,1,1,1
"Yuenbt","Cauchy",29176,1000,100,100,1.5,2,2,0,0.664,0.625523147624786,0.702476852375214,0.864,0.842753744649939,0.885246255350061,0.92,0.905887472232091,0.934112527767909
"Yuenbt","Cauchy",11466004,1000,100,100,1.5,0.5,2,0,0.914,0.89116146815787,0.93683853184213,0.973,0.962953972247699,0.983046027752301,0.989,0.983574242359357,0.994425757640643
"Yuenbt","Cauchy",112020737,1000,100,100,1.5,1,2,0,0.887,0.861210264362425,0.912789735637575,0.962,0.950149534625172,0.973850465374828,0.975,0.966878463238093,0.983121536761907
"Yuenbt","Cauchy",32795371,1000,100,100,2,1,1,0,1,1,1,1,1,1,1,1,1
"Yuenbt","Cauchy",51059,1000,100,100,2,0.5,0.5,0,1,1,1,1,1,1,1,1,1
"Yuenbt","Cauchy",2666833,1000,100,100,2,2,2,0,0.911,0.887804696977535,0.934195303022466,0.968,0.957091406983483,0.978908593016517,0.983,0.976275389693447,0.989724610306553
"Yuenbt","Cauchy",2984738,1000,100,100,2,0.5,2,0,0.986,0.976429197948761,0.995570802051239,0.996,0.992087847855719,0.999912152144281,0.999,0.997355822705728,1.00064417729427
"Yuenbt","Cauchy",633619,1000,100,100,2,1,2,0,0.99,0.981894805221341,0.998105194778659,0.997,0.993610276471451,1.00038972352855,0.998,0.995675946235562,1.00032405376444
"Yuenbt","Cauchy",23474,1000,100,100,2.5,1,1,0,1,1,1,1,1,1,1,1,1
"Yuenbt","Cauchy",836884,1000,100,100,2.5,0.5,0.5,0,1,1,1,1,1,1,1,1,1
"Yuenbt","Cauchy",203064,1000,100,100,2.5,2,2,0,0.988,0.979130176988462,0.996869823011537,0.997,0.993610276471451,1.00038972352855,0.999,0.997355822705728,1.00064417729427
"Yuenbt","Cauchy",770154,1000,100,100,2.5,0.5,2,0,0.998,0.994360630700794,1.00163936929921,1,1,1,1,1,1
"Yuenbt","Cauchy",259917,1000,100,100,2.5,1,2,0,0.999,0.996425288322161,1.00157471167784,1,1,1,1,1,1
"Yuenbt","Cauchy",3703094,1000,10,100,0,1,1,1,0.007,0.000208440607931048,0.013791559392069,0.03,0.0194268944959392,0.0405731055040608,0.075,0.0612985225477323,0.0887014774522677
