"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"KS","Exp",319231698,10000,10,100,1.5,1,0,0.9664,0.961758119476688,0.971041880523312,0.9917,0.989921780885942,0.993478219114058,0.999,0.998480065487297,0.999519934512703,9990,9917,9664
"KS","Exp",67280,10000,10,100,1.5,0.5,0,0.6049,0.592306653127392,0.617493346872608,0.7997,0.791855593443376,0.807544406556624,0.919,0.914511862357559,0.923488137642442,9190,7997,6049
"KS","Exp",593440,10000,10,100,1.5,0.25,0,0.1713,0.161594381653153,0.181005618346847,0.3619,0.352481218215586,0.371318781784414,0.5485,0.540313785962401,0.556686214037599,5485,3619,1713
"KS","Exp",148175,10000,10,100,1.5,0.125,0,0.0448,0.0394711680741746,0.0501288319258254,0.1319,0.125267712450263,0.138532287549737,0.2469,0.239806627432245,0.253993372567755,2469,1319,448
"KS","Exp",148376,10000,10,100,2,1,0,0.9963,0.99473598185987,0.99786401814013,0.9998,0.999522841861747,1.00007715813825,1,1,1,10000,9998,9963
"KS","Exp",119678,10000,10,100,2,0.5,0,0.8071,0.796935742797568,0.817264257202432,0.9271,0.922004543175102,0.932195456824898,0.9766,0.974113249631527,0.979086750368473,9766,9271,8071
"KS","Exp",5451347,10000,10,100,2,0.25,0,0.3208,0.308775642577704,0.332824357422296,0.5501,0.540349320302748,0.559850679697252,0.7244,0.717049874919731,0.731750125080269,7244,5501,3208
"KS","Exp",2372114,10000,10,100,2,0.125,0,0.0704,0.0638100784312722,0.0769899215687278,0.193,0.185264800961837,0.200735199038163,0.3397,0.331909159300449,0.347490840699551,3397,1930,704
"KS","Exp",44349168,10000,10,100,2.5,1,0,0.9996,0.999084903050306,1.00011509694969,1,1,1,1,1,1,10000,10000,9996
"KS","Exp",167969,10000,10,100,2.5,0.5,0,0.9216,0.914675712,0.928524288,0.9791,0.976296227707106,0.981903772292894,0.995,0.993839720965673,0.996160279034327,9950,9791,9216
"KS","Exp",68806,10000,10,100,2.5,0.25,0,0.47,0.457143204903243,0.482856795096757,0.6913,0.682245641948233,0.700354358051767,0.8408,0.834781562075222,0.846818437924778,8408,6913,4700
"KS","Exp",505042,10000,10,100,2.5,0.125,0,0.117,0.108720213442751,0.125279786557249,0.2733,0.264565189906037,0.282034810093963,0.4423,0.434129950379418,0.450470049620582,4423,2733,1170
"KS","Exp",931348,10000,10,100,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",4731362,10000,10,100,5,0.5,0,0.9996,0.999084903050306,1.00011509694969,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9996
"KS","Exp",2026456,10000,10,100,5,0.25,0,0.9132,0.905947484382438,0.920452515617562,0.9776,0.974699581430483,0.980500418569517,0.9951,0.993951324639432,0.996248675360567,9951,9776,9132
"KS","Exp",45350102,10000,10,100,5,0.12,0,0.4282,0.415453490743997,0.440946509256003,0.6575,0.648198901624002,0.666801098375998,0.8156,0.809220524568932,0.821979475431068,8156,6575,4282
"KS","Exp",22174926,10000,10,100,0,1.5,1,0.0092,0.00674057959837363,0.0116594204016264,0.0422,0.0382595146865392,0.0461404853134608,0.0978,0.0929136255890589,0.102686374410941,978,422,92
"KS","Exp",1632281,10000,10,100,0.5,1.5,0,0.6061,0.59351332579251,0.61868667420749,0.7965,0.788609015901676,0.804390984098324,0.9096,0.90488289717373,0.91431710282627,9096,7965,6061
"KS","Exp",112332570,10000,10,100,1,1.5,0,0.9699,0.965498582294462,0.974301417705538,0.9941,0.992598943242112,0.995601056757888,0.9992,0.998734909885721,0.999665090114279,9992,9941,9699
"KS","Exp",429536,10000,10,100,1.5,1.5,0,0.9985,0.997503068031208,0.999496931968792,0.9997,0.99936056896783,1.00003943103217,1,1,1,10000,9997,9985
"KS","Exp",10214219,10000,10,100,2,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",6958003,10000,10,100,2.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",2546362,10000,10,100,5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
