"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"VW","Normal2Var",2199789,10000,100,100,2.5,1,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","Normal2Var",165067,10000,100,100,0.5,3,5,0,0.0321,0.0275593960792441,0.0366406039207559,0.1183,0.111969924877413,0.124630075122587,0.1944,0.187890108333805,0.200909891666195,1944,1183,321
"VW","Normal2Var",109594684,10000,100,100,1.5,3,5,0,0.4166,0.403900439134027,0.429299560865973,0.668,0.658769752540695,0.677230247459305,0.7809,0.774095678861784,0.787704321138216,7809,6680,4166
"VW","Normal2Var",143679,10000,100,100,2,3,5,0,0.7309,0.719475645036338,0.742324354963662,0.8993,0.893401750991896,0.905198249008104,0.9448,0.94104330978674,0.94855669021326,9448,8993,7309
"VW","Normal2Var",1317236,10000,100,100,2.5,3,5,0,0.9258,0.919048404740927,0.932551595259073,0.9831,0.980573622343671,0.985626377656329,0.9937,0.992398441112829,0.995001558887171,9937,9831,9258
"VW","Normal2Var",260049,10000,100,100,0.5,1,5,0,0.0318,0.0272799633333593,0.0363200366666407,0.1147,0.108454272783286,0.120945727216714,0.1872,0.180783315709309,0.193616684290691,1872,1147,318
"VW","Normal2Var",24007,10000,100,100,1.5,1,5,0,0.4159,0.403203502777737,0.428596497222263,0.6732,0.66400674833796,0.68239325166204,0.7835,0.77672492116508,0.79027507883492,7835,6732,4159
"VW","Normal2Var",1104596,10000,100,100,2,1,5,0,0.7359,0.724543631909041,0.747256368090959,0.9032,0.897404569334243,0.908995430665757,0.9522,0.948690510566493,0.955709489433507,9522,9032,7359
"VW","Normal2Var",98994,10000,100,100,2.5,1,5,0,0.9276,0.920924319980749,0.934275680019251,0.9834,0.980895764214296,0.985904235785704,0.9922,0.990752852445706,0.993647147554294,9922,9834,9276
"VW","Normal2Var",81173293,10000,100,100,1,1,3,0,0.5401,0.527261489160209,0.552938510839791,0.7796,0.771475478698754,0.787724521301246,0.8718,0.866300561531583,0.877299438468417,8718,7796,5401
"VW","Normal2Var",98030,10000,100,100,1,3,5,0,0.1493,0.140119549802816,0.158480450197184,0.3464,0.337073879236982,0.355726120763018,0.4781,0.469882893372058,0.486317106627942,4781,3464,1493
