"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Bayes_TTest_VarUnequal","Cauchy",272138,1000,10,100,1.5,1,1,0,0.046,0.0289352880486074,0.0630647119513926,0.126,0.105431763361921,0.146568236638079,0.197,0.17631017639575,0.21768982360425
"Bayes_TTest_VarUnequal","Cauchy",12245423,1000,10,100,1.5,0.5,0.5,0,0.175,0.144047776170362,0.205952223829638,0.314,0.285233769687357,0.342766230312643,0.39,0.364627508054982,0.415372491945018
"Bayes_TTest_VarUnequal","Cauchy",34733,1000,10,100,1.5,2,2,0,0.017,0.00646954641356793,0.0275304535864321,0.058,0.0435124309285512,0.0724875690714488,0.105,0.0890532542700713,0.120946745729929
"Bayes_TTest_VarUnequal","Cauchy",23767223,1000,10,100,1.5,0.5,2,0,0.027,0.0137966492398331,0.0402033507601669,0.075,0.0586748353760215,0.0913251646239785,0.149,0.130476467292252,0.167523532707748
"Bayes_TTest_VarUnequal","Cauchy",83066967,1000,10,100,1.5,1,2,0,0.021,0.00931989217584016,0.0326801078241598,0.07,0.0541858240809077,0.0858141759190924,0.121,0.104035032774125,0.137964967225875
"Bayes_TTest_VarUnequal","Cauchy",541938,1000,10,100,2,1,1,0,0.076,0.0544131814798011,0.0975868185201988,0.172,0.148609717710126,0.195390282289874,0.244,0.221658017196319,0.266341982803681
"Bayes_TTest_VarUnequal","Cauchy",20038,1000,10,100,2,0.5,0.5,0,0.286,0.249188969013297,0.322811030986703,0.422,0.391389091722067,0.452610908277933,0.495,0.468991566764317,0.521008433235683
"Bayes_TTest_VarUnequal","Cauchy",497000,1000,10,100,2,2,2,0,0.015,0.00509830366048322,0.0249016963395168,0.056,0.0417493037924458,0.0702506962075542,0.123,0.105914871297675,0.140085128702325
"Bayes_TTest_VarUnequal","Cauchy",893893,1000,10,100,2,0.5,2,0,0.061,0.0415040872615822,0.0804959127384178,0.148,0.125990674849055,0.170009325150945,0.243,0.22068910569307,0.26531089430693
"Bayes_TTest_VarUnequal","Cauchy",119761,1000,10,100,2,1,2,0,0.03,0.0161039184803773,0.0438960815196227,0.103,0.0841604335081722,0.121839566491828,0.164,0.144738461857889,0.183261538142111
"Bayes_TTest_VarUnequal","Cauchy",1217170,1000,10,100,2.5,1,1,0,0.149,0.119992936015101,0.178007063984899,0.265,0.237645884404719,0.292354115595281,0.354,0.329123814177009,0.378876185822991
"Bayes_TTest_VarUnequal","Cauchy",90587,1000,10,100,2.5,0.5,0.5,0,0.375,0.335563215141191,0.414436784858809,0.519,0.488032062025379,0.549967937974621,0.59,0.564415093365423,0.615584906634577
"Bayes_TTest_VarUnequal","Cauchy",11982693,1000,10,100,2.5,2,2,0,0.026,0.0130368062799324,0.0389631937200676,0.093,0.0749988111059297,0.11100118889407,0.155,0.136173911070671,0.173826088929329
"Bayes_TTest_VarUnequal","Cauchy",31093494,1000,10,100,2.5,0.5,2,0,0.089,0.0658046969775344,0.112195303022466,0.203,0.178069370132305,0.227930629867695,0.283,0.259567496105303,0.306432503894697
"Bayes_TTest_VarUnequal","Cauchy",44493880,1000,10,100,2.5,1,2,0,0.047,0.0297598421464303,0.0642401578535697,0.15,0.127868484010353,0.172131515989647,0.217,0.195557439197358,0.238442560802642
